Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3283713,-,b'Khánh Hòa',b'Vietnam',12.52,109.03,7,24,7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,unknown
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,0,23.700000000000003,0.97,0.0568,0.66,0,0,0,0,21.700000000000003,0,0,0,0,0.245,88.64,168.99,0.17,1022,3.2,43,2.7,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,0,23.6,0.99,0.056100000000000004,0.66,0,0,0,3,21.700000000000003,0,0,0,0,0.246,88.97,159.67000000000002,0.17,1021,3.3000000000000003,41,2.7,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,0,23.6,1,0.057600000000000005,0.66,0,0,0,0,21.700000000000003,0,0,0,0,0.246,88.91,146.70000000000002,0.17,1021,3.3000000000000003,40,2.8000000000000003,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,0,23.6,1,0.0572,0.66,0,0,0,3,21.6,0,0,0,0,0.246,88.54,133.05,0.17,1021,3.3000000000000003,40,2.9000000000000004,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,0,23.5,0.98,0.057100000000000005,0.66,0,0,0,3,21.5,0,0,0,0,0.247,88.5,119.27,0.17,1021,3.4000000000000004,41,2.9000000000000004,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,0,23.5,1.01,0.055,0.66,0,0,0,3,21.5,0,0,0,0,0.247,88.47,105.52,0.17,1022,3.5,41,2.7,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,0,23.900000000000002,1.04,0.0533,0.66,0,0,0,3,21.700000000000003,0,0,0,0,0.246,87.34,91.94,0.17,1022,3.5,42,3,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,0,24.6,0.47000000000000003,0.3487,0.65,91,166,123,7,22.200000000000003,8,0,3,8,0.229,86.52,78.61,0.17,1021,6,28,4.800000000000001,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,0,25,0.47000000000000003,0.3635,0.65,167,399,330,7,22.400000000000002,93,0,0,93,0.229,85.59,65.92,0.17,1022,5.9,27,5,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,0,25.400000000000002,0.45,0.40280000000000005,0.65,222,510,521,6,22.400000000000002,135,0,0,135,0.228,83.47,54.17,0.17,1022,5.9,27,5.5,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,0,25.700000000000003,0.42,0.4465,0.65,266,560,667,7,22.200000000000003,154,0,0,154,0.227,81.27,44.160000000000004,0.17,1021,5.9,27,5.9,,,,,,,,,,,,,,,,,,,,
