Load_kW
" 18,205 "
" 18,360 "
" 18,089 "
" 18,436 "
" 18,215 "
" 18,708 "
" 17,738 "
" 17,017 "
" 17,560 "
" 18,071 "
" 19,578 "
" 20,312 "
" 20,031 "
" 19,900 "
" 19,888 "
" 19,864 "
" 19,642 "
" 18,952 "
" 19,215 "
" 19,776 "
" 19,037 "
" 19,168 "
" 19,450 "
" 19,578 "
" 19,583 "
" 18,595 "
" 18,220 "
" 18,453 "
" 16,441 "
" 15,337 "
" 14,941 "
" 14,486 "
" 15,111 "
" 16,274 "
" 17,216 "
" 18,296 "
" 19,372 "
" 20,784 "
" 21,090 "
" 21,047 "
" 20,979 "
" 21,039 "
" 20,877 "
" 19,754 "
" 18,930 "
" 19,194 "
" 19,743 "
" 20,110 "
" 19,450 "
" 19,045 "
" 19,507 "
" 20,232 "
" 19,559 "
" 18,815 "
" 18,314 "
" 17,885 "
" 18,474 "
" 19,485 "
" 19,632 "
" 20,346 "
" 20,763 "
" 20,265 "
" 20,264 "
" 21,040 "
" 20,909 "
" 20,813 "
" 20,208 "
" 19,216 "
" 17,956 "
" 18,270 "
" 18,499 "
" 17,975 "
" 17,345 "
" 17,327 "
" 17,601 "
" 17,654 "
" 17,396 "
" 17,077 "
" 16,791 "
" 17,466 "
" 17,207 "
" 17,362 "
" 18,298 "
" 19,734 "
" 19,550 "
" 19,598 "
" 19,493 "
" 19,656 "
" 19,634 "
" 20,115 "
" 19,349 "
" 18,333 "
" 18,789 "
" 19,591 "
" 18,556 "
" 18,328 "
" 18,461 "
" 18,435 "
" 17,920 "
" 18,339 "
" 18,141 "
" 17,593 "
" 17,853 "
" 17,321 "
" 16,662 "
" 17,918 "
" 18,991 "
" 18,848 "
" 18,444 "
" 18,376 "
" 18,534 "
" 19,078 "
" 19,529 "
" 19,035 "
" 18,662 "
" 18,919 "
" 18,661 "
" 18,701 "
" 19,233 "
" 19,155 "
" 18,725 "
" 18,368 "
" 17,868 "
" 18,071 "
" 17,986 "
" 17,981 "
" 17,694 "
" 17,447 "
" 18,156 "
" 19,635 "
" 19,535 "
" 19,452 "
" 19,636 "
" 19,272 "
" 19,512 "
" 20,593 "
" 20,313 "
" 19,513 "
" 19,267 "
" 18,626 "
" 17,833 "
" 18,535 "
" 18,707 "
" 18,643 "
" 18,455 "
" 18,292 "
" 17,763 "
" 17,798 "
" 17,649 "
" 17,229 "
" 17,128 "
" 17,708 "
" 17,951 "
" 18,812 "
